custid,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city
F6MHUM,1,9/14/10,5/3/11,1/15/14,46,65.2173913,8.695652174,79.39,0.069838057,1,0,0,Thursday,DEL
LSL6QK,0,2/22/11,5/2/11,5/2/11,0,0,0,29.17,0,0,0,0,Monday,BOM
9SVNMF,1,12/18/10,12/19/10,7/18/12,47,2.127659574,0,79.88,0.006932409,0,0,0,Wednesday,DEL
JPBBEP,1,8/12/10,8/22/12,5/1/13,47,19.14893617,10.63829787,115.25,0.138888889,1,0,0,Wednesday,DEL
3ML22U,0,3/10/11,4/24/11,11/14/12,0,0,0,76.67,0.007017544,0,0,0,Tuesday,DEL
N297FU,0,4/24/10,12/20/10,11/17/11,0,0,0,35.86,0.006024096,0,0,0,Tuesday,DEL
JD96M8,1,1/26/11,6/13/11,8/2/11,18,0,0,85.61,0.08,0,0,0,Tuesday,DEL
PLM5WZ,0,11/17/09,11/24/09,10/8/13,0,0,0,75.54,0.007072136,0,0,0,Monday,DEL
F3MF5Y,1,7/24/10,7/29/10,11/28/11,31,100,9.677419355,59.67,0.016427105,0,0,0,Thursday,DEL
2GHDRJ,1,7/24/09,5/23/10,3/7/13,46,6.52173913,4.347826087,59.11,0.015701668,1,0,0,Friday,BOM
KZHTJ7,1,1/26/11,2/28/11,12/17/13,49,36.73469388,20.40816327,33.87,0.026392962,0,0,0,Monday,BOM
WXBP2F,1,8/28/10,5/17/11,6/14/11,16,0,0,64.82,0.071428571,0,0,0,Tuesday,DEL
RJYYJ9,1,1/29/11,8/19/12,8/19/12,45,11.11111111,0,60.94,0,0,0,0,Tuesday,BOM
MZ8L3N,1,2/9/11,3/20/11,11/3/11,40,2.5,2.5,94.28,0.021929825,0,0,0,Thursday,BOM
UCVGQ9,1,3/7/11,3/14/11,9/11/13,48,12.5,2.083333333,103.39,0.013157895,0,0,0,Monday,BOM
4W84UJ,0,4/24/09,4/24/09,4/24/09,0,0,0,15.64,0,0,0,0,Tuesday,DEL
LMVN3V,1,5/18/10,6/2/10,3/8/12,45,17.77777778,2.222222222,117.97,0.03255814,0,0,0,Thursday,DEL
CZTUVU,1,9/13/10,11/7/11,9/28/12,47,2.127659574,0,37.24,0.036809816,0,0,0,Wednesday,DEL
3TJT3R,1,4/22/11,4/28/11,1/22/12,16,0,0,165.95,0.007434944,0,0,0,Friday,BOM
Q7RV8W,1,8/20/10,8/30/10,8/30/10,45,0,0,74.74,0,0,0,0,Friday,BOM
D5SNFS,0,1/4/11,4/13/11,10/6/13,0,0,0,178.44,0.045203969,0,0,0,Wednesday,DEL
ANEWZC,0,3/8/11,3/8/11,3/8/11,0,0,0,43.54,0,0,0,0,Tuesday,BOM
ZKL5JF,0,1/20/11,4/7/11,4/12/12,0,0,0,103.64,0.016172507,0,0,0,Thursday,BOM
EEKG4H,0,11/10/09,11/10/09,11/10/09,0,0,0,28.63,0,0,0,0,Wednesday,DEL
AZJTMQ,0,6/20/09,7/13/09,7/13/09,0,0,0,21.97,0,0,0,0,Thursday,DEL
HGBG96,0,1/26/10,2/1/10,6/22/10,0,0,0,87.05,0.021276596,0,0,0,Tuesday,DEL
W97W6Q,1,2/26/10,4/10/10,4/29/13,48,2.083333333,2.083333333,35.73,0.026008969,0,0,0,Tuesday,DEL
LGA8JT,1,11/11/09,4/12/10,11/3/13,50,10,4,33.38,0.005380477,0,0,0,Monday,DEL
RZQEWF,1,10/19/10,10/19/10,10/19/10,45,0,0,22.92,0,0,0,0,Wednesday,DEL
D4AEL5,0,3/4/10,3/2/11,2/27/12,0,0,0,125.97,0.035911602,0,0,0,Monday,DEL
3PST7V,0,2/10/11,2/10/11,3/24/11,0,0,0,37.01,0.047619048,0,0,0,Friday,DEL
T6ZAER,0,7/19/09,10/22/09,11/17/09,0,0,0,61.85,0.269230769,0,0,0,Friday,DEL
C55RAB,0,8/3/10,8/9/10,8/9/10,0,0,0,101.3,0,0,0,0,Wednesday,DEL
YRHUHV,1,4/15/10,10/4/10,11/18/13,53,3.773584906,3.773584906,151.27,0.094653812,0,0,0,Tuesday,DEL
8SK2UB,1,1/23/11,2/7/11,3/21/11,18,0,0,58.57,0.166666667,0,0,0,Monday,DEL
HZS3AJ,0,9/7/10,10/26/11,10/26/11,0,0,0,55.9,0,0,0,0,Thursday,BOM
GXDXR6,1,6/21/10,6/28/10,6/27/11,18,0,0,132.31,0.027472527,0,0,0,Monday,DEL
LE9M9X,1,4/12/11,4/17/11,4/17/11,16,0,0,91.9,0,0,0,0,Monday,DEL
B2LW75,1,5/14/09,3/12/10,3/12/10,16,0,0,39.16,0,0,0,0,Friday,DEL
BNE3YV,1,7/13/10,3/28/11,10/2/13,23,95.65217391,0,68.82,0.032644178,0,0,0,Monday,BOM
LJJEMA,1,10/5/10,10/26/13,10/26/13,34,14.70588235,0,44.05,0,0,1,0,Tuesday,BOM
EBNK8A,0,8/27/10,9/7/10,9/7/10,0,0,0,184.37,0,0,0,0,Wednesday,DEL
Z4YCW4,1,6/14/10,4/28/11,7/1/13,41,43.90243902,0,27.11,0.065408805,1,0,0,Thursday,DEL
FNWU29,0,8/26/10,9/23/10,11/25/12,0,0,0,65.77,0.018891688,1,0,0,Wednesday,MAA
ARR4H6,1,9/5/10,9/6/10,6/18/12,42,26.19047619,2.380952381,44.97,0.006144393,0,0,0,Tuesday,BOM
RACF5D,0,9/20/10,10/14/10,10/14/10,0,0,0,69.69,0,0,0,0,Thursday,DEL
64QBT7,0,3/15/11,3/28/11,4/11/11,33,75.75757576,0,49.76,0.214285714,0,0,0,Tuesday,DEL
GK3EST,1,6/16/10,6/21/10,6/21/10,16,0,0,81.95,0,0,0,0,Wednesday,DEL
W3TM2U,0,11/3/10,11/3/10,2/6/12,0,0,0,134.18,0.015217391,1,0,0,Tuesday,BOM
MLX3EU,1,10/2/08,10/2/08,10/2/08,14,0,0,63.18,0,0,0,0,Thursday,DEL
BXWS2B,1,11/29/09,7/22/11,1/8/14,45,77.77777778,20,42.62,0.064372919,1,0,0,Monday,DEL
C8UJQ3,1,2/9/10,3/30/10,3/30/10,16,0,0,23.79,0,0,0,0,Wednesday,DEL
PFCF8Q,1,7/12/10,11/20/12,11/20/12,46,93.47826087,15.2173913,165.07,0,0,0,0,Tuesday,DEL
NJR788,0,8/18/10,8/23/10,8/23/10,0,0,0,29.68,0,0,0,0,Tuesday,DEL
J8SLPE,1,8/7/09,9/11/09,10/10/13,45,4.444444444,2.222222222,39.41,0.006711409,0,0,0,Friday,DEL
GYH5AF,1,1/18/11,6/28/12,6/28/12,47,2.127659574,0,73.07,0,0,0,0,Friday,DEL
4QRWVB,1,8/17/10,4/26/11,10/23/11,18,0,0,50.87,0.072222222,0,0,0,Wednesday,DEL
VMYYX9,0,1/23/10,3/1/10,10/11/10,0,0,0,35.09,0.09375,0,0,0,Monday,DEL
CF5K35,1,2/3/11,2/3/11,3/27/11,42,38.0952381,0,85.37,0.076923077,0,0,0,Monday,DEL
XQK2CK,0,12/8/10,12/8/10,12/8/10,0,0,0,60.3,0,0,0,0,Thursday,DEL
FM7VFL,1,10/5/09,10/16/09,10/18/11,44,25,11.36363636,117.32,0.032786885,1,0,0,Friday,DEL
7PEMUD,1,11/30/09,11/30/09,11/13/12,47,0,0,105.45,0.003707136,0,0,0,Tuesday,DEL
A3XBE,1,4/11/11,4/11/11,7/29/12,45,6.666666667,2.222222222,165.23,0.010526316,1,0,0,Monday,BOM
EQSD5E,1,10/7/08,12/21/09,12/21/09,45,6.666666667,0,52.4,0,0,0,0,Tuesday,DEL
CT3NDS,1,3/23/11,3/23/11,1/3/14,39,87.17948718,12.82051282,30.48,0.015732547,0,0,0,Tuesday,BOM
C6HVXN,1,4/16/10,4/20/12,4/20/12,16,0,0,33.57,0,0,0,0,Thursday,DEL
ARP342,0,5/1/10,5/9/11,5/9/11,0,0,0,83.04,0,0,0,0,Monday,DEL
7PALQK,0,4/15/10,4/14/11,7/28/11,0,0,0,54.82,0.076190476,0,0,0,Thursday,DEL
S5DZ4Y,1,7/12/10,7/26/10,11/14/11,47,2.127659574,0,20.54,0.008403361,0,0,0,Monday,DEL
Z7QFN7,1,4/30/09,5/7/09,5/7/09,16,0,0,53.36,0,0,0,0,Friday,DEL
TGYGPC,1,1/9/11,2/1/11,7/19/12,42,16.66666667,2.380952381,27.74,0.005617978,0,0,0,Friday,BOM
DVRYSK,0,4/6/11,4/6/11,4/6/11,0,0,0,25,0,0,0,0,Thursday,DEL
HTJNCB,1,10/11/10,10/11/10,1/12/11,39,35.8974359,0,130.51,0.021505376,0,0,0,Tuesday,DEL
3VCXN,0,4/10/11,5/1/11,5/13/12,0,0,0,141.97,0.015873016,0,0,0,Monday,DEL
SGU3PB,0,3/31/10,9/12/10,10/12/11,0,0,0,47.5,0.010126582,1,0,0,Thursday,DEL
PXXTWN,0,5/3/10,7/5/10,11/11/10,0,0,0,111.86,0.054263566,0,0,0,Tuesday,DEL
U9ZQQP,1,12/1/10,6/12/11,7/22/13,46,19.56521739,10.86956522,29.73,0.006485084,1,0,0,Tuesday,MAA
M87HQT,0,9/3/10,9/24/10,3/17/11,0,0,0,109.16,0.022988506,0,0,0,Monday,DEL
564EL5,0,6/19/10,6/30/10,6/30/10,0,0,0,27.6,0,0,0,0,Thursday,DEL
S7B2TP,1,9/6/10,8/21/11,8/21/11,38,28.94736842,18.42105263,54.62,0,0,0,0,Friday,BOM
PA38W9,0,9/21/10,3/10/11,3/10/11,0,0,0,37.2,0,0,0,0,Thursday,BOM
5DDKKP,1,11/13/09,11/13/09,11/13/09,40,22.5,0,139.88,0,0,0,0,Friday,DEL
BUMVQN,0,2/15/10,2/22/10,2/22/10,0,0,0,57.3,0,0,0,0,Monday,DEL
ZPR8KQ,1,2/16/09,9/20/10,12/2/13,52,3.846153846,1.923076923,59.35,0.020530368,1,0,0,Monday,DEL
EG43ET,1,2/21/11,2/28/11,2/20/12,34,79.41176471,17.64705882,44.25,0.014005602,0,0,0,Monday,DEL
QKYBFL,1,8/23/10,1/26/11,3/31/11,18,0,0,18.42,0.203125,0,0,0,Thursday,DEL
2NV3SY,1,1/25/11,2/1/11,2/1/11,40,25,0,302.43,0,0,0,0,Thursday,BOM
YUA6VH,1,3/17/11,5/5/11,5/27/11,47,2.127659574,0,50.79,0.272727273,0,0,0,Friday,BOM
ME8GM2,1,2/12/10,10/4/11,11/5/13,37,5.405405405,5.405405405,57.22,0.00655308,1,0,0,Wednesday,DEL
ELJFL7,1,2/8/11,2/8/11,7/19/11,41,21.95121951,14.63414634,72.66,0.01863354,0,0,0,Wednesday,DEL
37TL6Y,1,3/10/11,5/13/11,5/20/11,16,0,0,71.96,0.285714286,0,0,0,Friday,BOM
VSDFDY,1,10/29/09,10/29/09,11/22/09,16,0,0,37.81,0.083333333,0,0,0,Friday,DEL
XWM9F2,1,2/6/11,7/2/12,7/2/12,42,23.80952381,0,16.14,0,0,0,0,Monday,BOM
248PRB,1,6/27/10,8/31/10,11/6/13,45,22.22222222,8.888888889,104.22,0.012897678,0,0,0,Wednesday,MAA
EDHT4T,1,3/1/11,3/13/11,4/11/11,42,23.80952381,0,86.73,0.103448276,0,0,0,Monday,DEL
2K94VS,1,8/25/10,8/25/10,8/25/10,44,29.54545455,0,30.57,0,0,0,0,Friday,DEL
PBCL4J,0,7/14/09,7/14/09,7/14/09,0,0,0,23.65,0,0,0,0,Tuesday,DEL
E3JPX3,0,9/12/10,2/10/11,2/17/11,0,0,0,120.14,0.714285714,0,0,0,Thursday,DEL
5CLFNM,1,12/9/10,12/22/10,12/15/13,46,6.52173913,0,70.32,0.019283747,0,0,0,Monday,DEL
S8J2KD,0,9/28/10,10/19/10,10/19/10,0,0,0,57.76,0,0,0,0,Wednesday,DEL
SJKEYZ,1,8/27/10,2/10/11,7/31/12,47,17.0212766,6.382978723,55.18,0.020484171,0,0,0,Wednesday,BOM
PCM3GS,1,10/6/10,10/13/10,12/11/13,48,4.166666667,0,96.37,0.007792208,1,0,0,Monday,DEL
4YUT8B,0,2/23/11,2/24/11,2/24/11,0,0,0,55.68,0,0,0,0,Friday,BOM
WYPLUJ,1,12/6/09,12/6/09,12/6/09,16,0,0,20.2,0,0,0,0,Monday,DEL
6FR5QW,0,8/26/09,8/26/09,8/26/09,0,0,0,29,0,0,0,0,Thursday,DEL
ETU955,1,3/2/11,1/10/14,1/19/14,11,27.27272727,18.18181818,38.46,0.222222222,1,1,1,Monday,BOM
3WEGJ4,1,12/4/08,1/19/10,1/15/14,22,4.545454545,4.545454545,36.48,0.009608785,0,0,0,Monday,DEL
HFLKGD,1,2/9/10,3/12/10,12/3/10,18,0,0,51.3,0.045112782,0,0,0,Friday,DEL
CXU7AW,0,3/7/11,3/8/11,4/10/11,0,0,0,171.7,0.060606061,0,0,0,Tuesday,BOM
Y4JALT,1,2/13/11,8/4/11,11/14/11,34,64.70588235,2.941176471,93.96,0.019607843,0,0,0,Friday,BOM
6ZHF73,0,9/7/10,1/25/11,5/28/13,0,0,0,67.95,0.018735363,0,0,0,Wednesday,DEL
UTLGDS,1,1/29/10,10/22/10,10/10/13,47,2.127659574,0,110.02,0.04704797,0,0,0,Tuesday,DEL
F3ANT8,1,2/18/11,5/12/11,1/13/12,47,0,0,37.35,0.016260163,0,0,0,Thursday,BOM
UH5A8N,0,12/10/09,12/10/09,2/5/10,0,0,0,21.98,0.052631579,0,0,0,Friday,DEL
72EG38,0,5/2/10,7/7/11,7/27/11,0,0,0,147.35,0.45,0,0,0,Friday,DEL
DEHQEB,0,1/13/11,9/28/11,2/6/12,0,0,0,99.47,0.022900763,0,0,0,Wednesday,DEL
HU4SHX,0,11/9/09,8/19/10,11/17/11,0,0,0,75.83,0.041758242,0,0,0,Friday,DEL
ZGNKU4,1,8/9/10,12/6/10,10/17/11,32,87.5,6.25,27.77,0.025396825,0,0,0,Monday,BOM
9B2NQX,0,9/28/10,9/29/10,9/29/10,0,0,0,83.85,0,0,0,0,Thursday,DEL
HSZGYK,1,1/21/10,3/1/10,5/3/10,41,56.09756098,0,13.73,0.111111111,0,0,0,Monday,DEL
FVHPYJ,0,11/15/09,3/29/10,3/29/10,2,50,0,31.04,0,0,0,0,Monday,DEL
SKUYV,1,4/22/11,4/22/11,1/19/14,67,25.37313433,8.955223881,85.66,0.11665005,1,1,0,Monday,BOM
FCX4A7,1,1/29/11,2/13/11,1/16/14,39,87.17948718,12.82051282,101.64,0.005617978,0,0,0,Monday,BOM
2CQ42Z,1,8/30/10,6/17/13,7/7/13,47,0,0,44.94,0.2,0,0,0,Wednesday,DEL
9HRV46,1,1/18/11,6/30/13,6/30/13,44,4.545454545,0,50.94,0,0,0,0,Monday,DEL
TNDHYE,1,3/22/11,4/5/11,5/3/11,46,4.347826087,4.347826087,56.53,0.142857143,1,0,0,Wednesday,MAA
P4SHNX,1,3/27/11,10/6/13,10/6/13,34,23.52941176,8.823529412,41,0,0,0,0,Thursday,BOM
,1,#N/A,#N/A,#N/A,47,0,0,121.11,0,0,0,0,Wednesday,DEL
XFM2UU,0,5/5/10,12/3/10,12/3/10,0,0,0,129.76,0,0,0,0,Friday,DEL
FYKE6T,1,11/9/10,1/11/11,3/4/13,45,4.444444444,0,46.46,0.039591315,0,0,0,Tuesday,BOM
9HNPDF,1,11/10/09,11/17/09,12/14/09,16,0,0,49.8,0.111111111,0,0,0,Friday,DEL
3PMDNS,0,4/26/10,11/23/10,11/23/10,0,0,0,28.37,0,0,0,0,Wednesday,DEL
QDTHZ3,0,8/27/09,8/27/09,8/27/09,0,0,0,27.57,0,0,0,0,Tuesday,DEL
85JTA,1,4/22/11,6/13/11,5/20/12,45,2.222222222,0,63.28,0.00877193,0,0,0,Monday,DEL
YACQB7,0,5/10/11,5/15/11,6/4/13,1,0,0,87.01,0.083888149,0,0,0,Monday,DEL
UA88SV,1,7/2/10,7/4/11,9/1/13,45,11.11111111,0,55.71,0.007594937,0,0,0,Thursday,DEL
M43V97,0,1/24/11,1/24/11,1/24/11,0,0,0,30.63,0,0,0,0,Tuesday,DEL
BRZQNB,1,7/9/10,4/12/11,9/6/13,38,28.94736842,0,28.7,0.089977221,1,0,0,Wednesday,MAA
6GK8ZP,0,5/30/10,5/30/10,5/30/10,0,0,0,26.25,0,0,0,0,Monday,DEL
AXS66R,1,11/16/10,4/22/11,1/19/14,72,30.55555556,0,80.06,0.175473579,0,1,0,Monday,BOM
C9S2QZ,1,8/7/08,3/24/10,1/14/14,51,19.60784314,13.7254902,53.37,0.122126437,0,1,0,Wednesday,DEL
BTE8SJ,1,1/12/11,5/21/12,6/28/12,43,6.976744186,6.976744186,52.63,0.078947368,1,0,0,Tuesday,DEL
6C69AH,0,4/15/10,4/15/10,4/15/10,0,0,0,142.5,0,0,0,0,Friday,DEL
MFGEYU,0,3/7/11,3/7/11,5/17/11,0,0,0,64.77,0.028169014,0,0,0,Thursday,BOM
SBJSTR,0,5/11/11,6/11/11,6/11/11,0,0,0,53.95,0,0,0,0,Tuesday,DEL
4P69JL,0,2/10/10,1/9/11,10/7/12,0,0,0,70.83,0.018838305,0,0,0,Monday,DEL
Y3Q9RE,0,10/20/10,11/7/10,11/7/10,0,0,0,49.76,0,0,0,0,Friday,DEL
SH97N,0,3/22/11,5/2/11,6/13/11,41,21.95121951,0,71.57,0.119047619,0,0,0,Monday,BOM
F8CALQ,1,10/4/10,3/2/11,3/2/11,40,5,0,48.29,0,0,0,0,Thursday,DEL
AZ48MV,1,3/9/11,4/7/11,8/5/11,39,7.692307692,2.564102564,105.92,0.033333333,0,0,0,Friday,DEL
VZSLYC,0,1/24/11,4/7/11,2/19/13,0,0,0,180.43,0.043859649,1,0,0,Friday,DEL
9FT8PL,0,2/18/11,3/27/11,8/19/13,0,0,0,151.63,0.057077626,1,0,0,Friday,DEL
6B6RCS,0,5/3/11,5/3/11,5/3/11,0,0,0,47.16,0,0,0,0,Wednesday,DEL
AL2LGA,0,10/12/10,2/1/12,2/1/12,0,0,0,52.62,0,0,0,0,Wednesday,BOM
7VK6PX,1,9/27/10,10/11/10,10/11/10,41,14.63414634,2.43902439,41.29,0,0,0,0,Wednesday,DEL
FHKQJY,0,3/17/10,3/17/10,3/17/10,28,21.42857143,0,30.09,0,0,0,0,Thursday,DEL
2WCFBU,0,8/25/10,10/25/11,11/15/11,27,62.96296296,0,72.78,0.19047619,0,0,0,Wednesday,DEL
BWVPGQ,1,9/20/10,4/17/11,4/17/11,46,4.347826087,2.173913043,103.83,0,1,0,0,Tuesday,DEL
X3299E,1,8/12/10,1/7/11,11/5/13,48,10.41666667,8.333333333,132.43,0.052274927,1,0,0,Tuesday,DEL
KJ8J2C,0,4/12/11,4/12/11,4/12/11,0,0,0,63.9,0,0,0,0,Tuesday,DEL
BJAPV3,0,1/24/11,3/20/11,9/26/13,0,0,0,53.85,0.060803474,1,0,0,Friday,DEL
,0,#N/A,#N/A,#N/A,14,100,21.42857143,60.97,0,1,1,0,Tuesday,BOM
VJYRQ8,0,6/26/09,1/21/10,7/20/10,0,0,0,48.81,0.244444444,0,0,0,Thursday,DEL
3ETY2H,0,3/6/11,3/10/11,3/10/11,0,0,0,67.94,0,0,0,0,Thursday,BOM
BSC6KU,1,12/17/09,5/16/11,9/3/12,45,0,0,71.56,0.004201681,0,0,0,Tuesday,DEL
ABHHAT,0,11/17/10,11/17/10,11/17/10,0,0,0,49.83,0,0,0,0,Friday,DEL
RH5VGB,1,10/21/10,3/25/11,3/30/12,18,0,0,40.97,0.016172507,0,0,0,Friday,BOM
ER99UJ,1,9/2/10,11/7/10,10/21/13,53,3.773584906,1.886792453,85.39,0.014828545,0,0,0,Monday,DEL
86SLAH,1,8/27/10,11/15/11,11/15/11,38,39.47368421,15.78947368,52.15,0,0,0,0,Thursday,BOM
TJJPG,1,4/24/11,5/4/11,6/26/13,31,100,19.35483871,103.97,0.047193878,1,0,0,Thursday,DEL
GCXDYV,0,1/23/11,3/29/11,5/16/11,0,0,0,35.82,0.333333333,0,0,0,Tuesday,BOM
8REF6A,0,9/2/10,9/15/10,10/13/10,0,0,0,33.81,0.178571429,0,0,0,Thursday,BOM
JD489B,1,1/25/11,2/1/11,2/1/11,36,58.33333333,0,30.36,0,0,0,0,Wednesday,BOM
Y6C6NW,1,9/18/10,9/20/10,8/24/12,32,93.75,0,74.45,0.009943182,0,0,0,Monday,DEL
UDKBWA,1,3/6/11,4/6/11,1/19/14,60,30,8.333333333,147.77,0.122669284,0,0,1,Friday,BOM
Z3M84Z,0,7/21/08,8/19/08,4/7/09,0,0,0,16.09,0.034632035,0,0,0,Tuesday,DEL
JJH6BE,0,11/24/09,10/22/10,1/13/14,13,100,46.15384615,74.59,0.039864292,1,1,0,Friday,DEL
FEUEP6,1,8/22/10,8/22/10,6/17/13,47,4.255319149,4.255319149,48.01,0.006796117,0,0,0,Monday,DEL
CGUZKY,1,9/1/10,5/1/11,6/17/13,48,2.083333333,0,228.24,0.075835476,0,0,0,Monday,DEL
S6MWEQ,1,3/23/10,4/27/10,11/6/13,48,16.66666667,10.41666667,49.81,0.010861133,0,0,0,Friday,DEL
646VZ8,1,2/24/11,4/24/11,4/30/11,16,0,0,79.25,0.333333333,0,0,0,Monday,DEL
BCERB3,1,12/27/09,3/5/10,7/13/11,45,8.888888889,2.222222222,50.49,0.074747475,0,0,0,Friday,DEL
3EEP8A,1,2/3/11,2/10/11,5/22/11,16,0,0,51.31,0.01980198,0,0,0,Wednesday,BOM
3F2G9G,1,2/14/11,2/14/11,2/14/11,45,0,0,41.81,0,0,0,0,Monday,DEL
2Z2YX3,1,10/27/10,11/15/10,1/16/14,47,31.91489362,4.255319149,34.51,0.008635579,0,0,0,Wednesday,BOM
SHVHNF,1,9/9/09,3/18/10,10/25/12,46,13.04347826,0,48.65,0.022058824,0,0,0,Friday,DEL
ESAZ2K,0,3/6/11,4/29/11,9/8/12,0,0,0,59.7,0.108433735,1,0,0,Monday,BOM
FWCQ9Y,1,5/6/09,2/22/11,11/5/13,44,45.45454545,11.36363636,54.35,0.051671733,0,0,0,Tuesday,DEL
GZVBPC,1,7/22/10,9/2/13,12/30/13,41,29.26829268,4.87804878,50.46,0.016806723,1,0,0,Tuesday,BOM
42D2Z3,1,1/11/10,1/11/10,1/11/10,45,6.666666667,2.222222222,25.93,0,0,0,0,Tuesday,DEL
4A6UZV,1,1/17/11,2/1/11,3/2/11,16,0,0,57.74,0.068965517,0,0,0,Wednesday,BOM
RLV55D,1,4/8/11,4/11/11,4/11/11,44,6.818181818,0,200.24,0,0,0,0,Wednesday,BOM
TRAJBC,0,5/10/11,5/23/11,5/23/11,14,14.28571429,0,49.97,0,0,0,0,Monday,DEL
6ERUQ9,1,1/5/09,4/16/09,6/12/11,37,70.27027027,0,40.66,0.005082592,0,0,0,Thursday,DEL
QQNM35,0,12/11/09,12/21/09,6/15/13,0,0,0,168.93,0.011792453,1,0,0,Monday,DEL
K2D4ZQ,0,7/9/10,7/6/11,7/6/11,0,0,0,50.73,0,0,0,0,Wednesday,DEL
ZUN4CF,1,10/16/10,10/16/10,12/17/13,52,17.30769231,5.769230769,90.59,0.015544041,1,0,0,Monday,BOM
HA7L95,1,9/1/10,11/23/10,11/26/13,51,1.960784314,0,63.53,0.020018198,0,0,0,Wednesday,DEL
2DHFAA,1,10/24/10,1/13/11,10/3/13,46,0,0,149.33,0.02917505,1,0,0,Thursday,DEL
39CMML,1,11/2/10,12/26/10,1/19/11,42,14.28571429,2.380952381,99.97,0.208333333,0,0,0,Tuesday,DEL
6BMRPY,1,1/18/11,4/5/11,11/5/13,47,10.63829787,0,115.96,0.037037037,1,0,0,Monday,DEL
H4WLGH,0,4/7/11,4/12/11,4/12/11,0,0,0,27.98,0,0,0,0,Friday,BOM
NHKUWG,0,9/19/10,9/26/10,9/26/10,0,0,0,113.96,0,0,0,0,Tuesday,DEL
FY7APA,1,3/16/11,4/14/11,9/19/13,49,10.20408163,2.040816327,267.6,0.032620922,0,0,0,Thursday,BOM
4SHS8Y,1,2/17/11,2/17/11,2/17/11,45,2.222222222,2.222222222,24.22,0,0,0,0,Thursday,DEL
RXMSBK,1,3/7/11,3/7/11,1/15/14,43,55.81395349,11.62790698,151.39,0.031578947,1,0,0,Friday,BOM
GHMBPA,1,12/1/10,12/19/10,1/16/14,49,24.48979592,20.40816327,222.53,0.048042705,0,0,1,Friday,DEL
D28LME,1,9/3/10,2/16/11,8/29/12,45,13.33333333,4.444444444,56.34,0.125,1,0,0,Thursday,DEL
M8Q4EG,1,9/13/10,6/14/11,1/13/14,40,95,60,54.08,0.032838983,0,0,0,Tuesday,DEL
65G389,0,3/27/11,3/30/11,3/30/11,0,0,0,124.49,0,0,0,0,Thursday,DEL
KVJEXA,0,6/18/09,7/8/10,7/8/10,0,0,0,40.04,0,0,0,0,Thursday,DEL
8A342G,0,6/3/10,9/26/10,5/31/12,0,0,0,70.71,0.137030995,1,0,0,Monday,DEL
7BB7ZR,1,5/2/11,5/9/11,10/13/13,42,33.33333333,7.142857143,94.99,0.009009009,0,0,0,Wednesday,DEL
65EAS4,0,8/18/10,8/18/10,8/18/10,0,0,0,28.05,0,0,0,0,Thursday,DEL
3TNEAE,0,2/9/10,2/9/10,12/12/11,0,0,0,163.06,0.01490313,1,0,0,Tuesday,DEL
